support,itemsets
0.93628,frozenset({'Dropout=No'})
0.06372,frozenset({'Dropout=Yes'})
0.08362,frozenset({'campus_hash=1a9d786be0ff0bfe'})
0.09326,frozenset({'campus_hash=6781b441c78d2643'})
0.0535,frozenset({'campus_hash=8138689887e6817e'})
0.05796,frozenset({'campus_hash=86348ea0bf50ebf0'})
0.06502,frozenset({'campus_hash=9103a6c82e355433'})
0.09422,frozenset({'campus_hash=e4f95d56d90df35e'})
0.9762,frozenset({'dedicacion=TC'})
0.61958,frozenset({'desplazado_hash=A'})
0.38042,frozenset({'desplazado_hash=B'})
0.33214,frozenset({'estudios_m_hash=F'})
0.44902,frozenset({'estudios_m_hash=L'})
0.1919,frozenset({'estudios_m_hash=T'})
0.32768,frozenset({'estudios_p_hash=F'})
0.40266,frozenset({'estudios_p_hash=L'})
0.22728,frozenset({'estudios_p_hash=T'})
0.2457,frozenset({'nota10_hash=High'})
0.24626,frozenset({'nota10_hash=Low'})
0.24512,frozenset({'nota10_hash=Medium'})
0.6635,frozenset({'tipo_ingreso=NAP'})
0.76746,frozenset({'total_n_wifi_days=Low'})
0.23036,frozenset({'total_n_wifi_days=Medium'})
0.99918,frozenset({'total_pft_assignment_submissions=Low'})
0.99792,frozenset({'total_pft_events=Low'})
0.99922,frozenset({'total_pft_visits=Low'})
0.9973,frozenset({'total_resource_events=Low'})
0.07952,"frozenset({'campus_hash=1a9d786be0ff0bfe', 'Dropout=No'})"
0.08848,"frozenset({'campus_hash=6781b441c78d2643', 'Dropout=No'})"
0.05194,"frozenset({'campus_hash=8138689887e6817e', 'Dropout=No'})"
0.05526,"frozenset({'Dropout=No', 'campus_hash=86348ea0bf50ebf0'})"
0.06162,"frozenset({'campus_hash=9103a6c82e355433', 'Dropout=No'})"
0.08816,"frozenset({'campus_hash=e4f95d56d90df35e', 'Dropout=No'})"
0.91768,"frozenset({'dedicacion=TC', 'Dropout=No'})"
0.5782,"frozenset({'desplazado_hash=A', 'Dropout=No'})"
0.35808,"frozenset({'desplazado_hash=B', 'Dropout=No'})"
0.31082,"frozenset({'estudios_m_hash=F', 'Dropout=No'})"
0.42326,"frozenset({'estudios_m_hash=L', 'Dropout=No'})"
0.17886,"frozenset({'estudios_m_hash=T', 'Dropout=No'})"
